,CustomerID,GrossRevenue,RecencyDays,Frequency,ReturnsNo,QtItems,ProductReturns,PurchasesNo,ProductsNo,PurchasingMonths,Clusters
0,17850,5288.63,301,0.4861111111111111,1,1693,40,34,297.0,2,3
1,13047,3079.1,31,0.052478134110787174,8,1355,36,10,172.0,10,2
2,12583,7187.34,2,0.04851752021563342,3,5009,51,15,247.0,11,2
3,13748,948.25,95,0.017921146953405017,0,439,0,5,28.0,3,5
4,15100,635.1,329,0.13636363636363635,3,58,22,3,3.0,2,3
5,15291,4596.51,25,0.05730659025787966,5,2074,29,15,103.0,7,4
6,14688,5107.38,7,0.07356948228882834,6,3222,399,21,327.0,11,2
7,17809,4627.62,15,0.04189944134078212,3,2015,42,12,61.0,9,4
8,15311,59419.340000000004,0,0.3155080213903743,27,37720,474,91,2379.0,12,2
9,14527,7711.38,2,0.23118279569892472,31,2049,40,55,972.0,12,2
10,16098,2005.63,87,0.027874564459930314,0,613,0,7,67.0,7,4
11,18074,489.6,373,1.0,0,190,0,1,13.0,1,0
12,17420,598.83,49,0.009259259259259259,0,265,0,3,30.0,3,5
13,16029,50992.61,38,0.2261904761904762,13,32148,8060,63,242.0,12,2
14,16250,389.44,260,0.017699115044247787,0,208,0,2,24.0,2,3
15,12431,6416.39,35,0.05309734513274336,3,2856,50,15,235.0,9,4
16,17511,88125.38,2,0.12668463611859837,15,63012,1537,31,963.0,12,2
18,13705,711.86,7,0.008174386920980926,0,363,0,3,28.0,2,3
19,13747,79.6,373,1.0,0,8,0,1,1.0,1,0
20,13408,27487.41,1,0.21774193548387097,19,16119,113,62,478.0,12,2
21,13767,16945.71,1,0.13978494623655913,15,7258,64,37,368.0,12,2
22,17924,2894.33,0,0.03485254691689008,6,1141,19,7,31.0,4,5
23,13448,3465.67,16,0.027932960893854747,4,1638,22,6,195.0,4,5
24,15862,832.88,7,0.01092896174863388,0,585,0,4,147.0,3,5
25,15513,14520.08,30,0.0641399416909621,3,5545,164,19,308.0,11,2
26,12791,192.60000000000002,373,1.0,0,97,0,1,2.0,1,0
27,16218,3054.87,29,0.023255813953488372,1,2077,11,7,84.0,7,4
28,14045,1659.75,108,0.01509433962264151,0,535,0,4,6.0,3,5
29,14307,2995.72,88,0.021052631578947368,0,2058,0,6,180.0,5,1
30,17908,243.28,373,1.0,0,173,0,1,58.0,1,0
31,17920,4204.1,3,0.04594594594594595,0,2516,0,17,696.0,9,4
32,12838,683.13,33,0.005865102639296188,0,359,0,2,123.0,2,3
33,13255,390.66,3,0.008108108108108109,1,174,3,2,13.0,2,3
34,16583,233.45,373,1.0,0,111,0,1,14.0,1,0
35,18085,689.95,329,0.045454545454545456,0,265,0,2,29.0,2,3
36,13758,3190.55,11,0.019337016574585635,0,1844,0,7,117.0,5,1
37,13694,62633.1,3,0.16216216216216217,10,61303,1509,50,567.0,12,2
38,15983,1475.02,21,0.011363636363636364,0,892,0,4,113.0,2,3
39,14849,7904.28,21,0.07954545454545454,3,5656,38,25,388.0,11,2
40,17968,277.35,373,1.0,0,160,0,1,85.0,1,0
41,16210,21086.3,1,0.04825737265415549,0,7559,0,18,123.0,8,4
42,17897,541.1,172,0.01990049751243781,1,223,6,3,114.0,2,3
43,17377,3925.92,23,0.06,1,2075,1,20,418.0,8,4
44,16552,379.73,242,0.015267175572519083,0,219,0,2,17.0,2,3
45,17181,239.92000000000002,56,0.006309148264984227,0,241,0,2,23.0,2,3
46,17951,990.8400000000001,39,0.011976047904191617,1,610,6,3,20.0,2,3
47,14729,313.49,373,1.0,0,197,0,1,71.0,1,0
48,12748,29060.1,0,0.6005361930294906,14,23909,1538,209,4592.0,12,2
49,15012,423.04,53,0.00625,0,231,0,2,128.0,2,3
50,12868,1607.0600000000002,185,0.031914893617021274,0,928,0,6,107.0,5,1
51,17572,226.75000000000003,70,0.013201320132013201,0,95,0,4,12.0,3,5
52,14078,1049.37,101,0.022058823529411766,0,310,0,6,65.0,6,1
53,14001,2030.3300000000002,45,0.012195121951219513,1,959,3,3,39.0,4,5
54,12662,3817.08,0,0.032171581769437,1,2040,18,11,230.0,9,4
55,15525,811.02,1,0.010752688172043012,1,414,2,3,178.0,2,3
56,14237,161.0,372,1.0,0,38,0,1,9.0,1,0
57,17905,800.24,70,0.013201320132013201,0,407,0,4,34.0,3,5
58,15485,2575.0,29,0.00872093023255814,0,1306,0,3,86.0,3,5
59,12433,13375.87,0,0.01876675603217158,0,11071,0,7,420.0,4,5
60,16955,493.67,184,0.026455026455026454,1,246,20,4,25.0,3,5
61,15350,115.65,372,1.0,0,51,0,1,5.0,1,0
62,15605,1198.23,35,0.014792899408284023,0,441,0,5,67.0,5,1
63,18144,2888.75,7,0.03278688524590164,0,1343,0,12,43.0,9,4
64,15922,363.6,371,2.0,1,136,2,1,11.0,1,0
65,14594,379.83,6,0.00546448087431694,0,185,0,2,53.0,1,3
66,15165,487.75,372,1.0,0,160,0,1,27.0,1,0
67,14911,132560.62,0,0.6675603217158177,47,76630,3335,201,5672.0,12,2
68,16456,2158.37,98,0.01824817518248175,0,1148,0,5,111.0,5,1
69,17841,40332.78,1,0.4543010752688172,45,22665,206,124,7846.0,12,2
70,12472,6229.48,30,0.037900874635568516,6,4020,128,7,339.0,8,4
71,17346,2611.58,3,0.043243243243243246,1,1639,18,15,500.0,8,4
72,17643,101.55,372,1.0,0,71,0,1,8.0,1,0
73,17873,1764.3600000000001,79,0.02040816326530612,1,999,48,5,44.0,5,1
74,13093,7741.47,266,0.12149532710280374,5,3943,18,8,159.0,4,5
